#Year,Title,Genre,Studio,Cast,Level,
2015,The Woman in Black: Angel of Death,,Relativity Media,"Tom Harper (director); Jon Croker, Susan Hill (screenplay); Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Oaklee Pendergast, Ned Dennehy, Leanne Best, Mylene Joyce Legaspi, Leilah de Meza",1,
2015,20 Once Again,,CJ E&M Film Division,"Leste Chen (director); Yang Zishan, Kuei Ya-lei, Chen Bolin, Luhan",2,
2015,Taken 3,,20th Century Fox,"Olivier Megaton (director); Robert Mark Kamen, Luc Besson (screenplay); Liam Neeson, Famke Janssen, Maggie Grace, Forest Whitaker",2,
2015,Tevar,,Eros International,"Amit Sharma (director); Amit Sharma, Shantanu Srivastava (screenplay); Arjun Kapoor, Sonakshi Sinha, Manoj Bajpai, Raj Babbar, Deepti Naval",1,
2015,I,,Aascar Film,"S. Shankar (director/screenplay); Subha (screenplay); Vikram, Amy Jackson, N. Santhanam, Suresh Gopi, Upen Patel, Ramkumar Ganesan",2,
2015,Blackhat,,Universal Studios,"Michael Mann (director/screenplay); Morgan Davis Foehl (screenplay); Chris Hemsworth, Viola Davis, John Ortiz, Yorick van Wageningen, Tang Wei, Leehom Wang",1,
2015,Spare Parts,,Lions Gate Entertainment,"Sean McNamara (director); Elissa Matsueda (screenplay); George Lopez, Jamie Lee Curtis, Carlos PenaVega, Alexa PenaVega, Marisa Tomei",2,
2015,The Wedding Ringer,,Screen Gems,"Jeremy Garelick (director/screenplay); Jay Lavender (screenplay); Kevin Hart,Josh Gad, Kaley Cuoco, Olivia Thirlby, Alan Ritchson, Mimi Rogers, Ken Howard,Affion Crockett, Lindsay Pearce, Jenifer Lewis, Cloris Leachman",1,
2015,Ex Machina,,A24 Films,"Alex Garland (director/screenplay); Domhnall Gleeson, Oscar Isaac, Alicia Vikander",2,
2015,Mortdecai,,Lions Gate Entertainment,"David Koepp (director); Eric Aronson (screenwriter); Johnny Depp, Ewan McGregor, Olivia Munn, Aubrey Plaza, Oliver Platt, Gwyneth Paltrow, Paul Bettany, Ulrich Thomsen, Jeff Goldblum",1,
2015,Strange Magic,,Touchstone Pictures /Lucasfilm,"Gary Rydstrom (director/screenplay); David Berenbaum, Irene Mecchi(screenplay); Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Sam Palladio, Alfred Molina, Elijah Kelley, Bob Einstein, Peter Stormare",1,
2015,The Boy Next Door,,Universal Studios,"Rob Cohen (director); Jennifer Lopez, Ryan Guzman, John Corbett, Adam Hicks,Ian Nelson, Kristin Chenoweth",1,
2015,Me and Earl and the Dying Girl,,Fox Searchlight Pictures,"Alfonso Gomez-Rejon (director); Jesse Andrews (screenplay); Thomas Mann,Olivia Cooke, Ronald Cyler II, Jon Bernthal, Nick Offerman",1,
2015,Advantageous,,Film Presence,"Jennifer Phang (director/screenplay); Jacqueline Kim (screenplay); Jacqueline Kim, Samantha Kim, James Urbaniak, Freya Adams, Ken Jeong, Jennifer Ehle",2,
2015,The SpongeBob Movie: Sponge Out of Water,,Paramount Pictures /Nickelodeon Movies,"Paul Tibbitt (director), Jonathan Aibel, Glenn Berger (screenplay), Tom Kenny, Bill Fagerbakke, Rodger Bumpass, Clancy Brown, Carolyn Lawrence, Mr. Lawrence,Antonio Banderas",2,
2015,Kingsman: The Secret Service,,20th Century Fox,"Matthew Vaughn (director/screenplay); Jane Goldman (Screenplay); Colin Firth,Taron Egerton, Samuel L. Jackson, Mark Strong, Michael Caine, Sophie Cookson,Sofia Boutella, Mark Hamill",2,
2015,Boonie Bears: Mystical Winter,,Mr. Cartoon Pictures / Pearl River Pictures,"Ding Liang, Liu Fuyuan (director/screenplay); Zhang Wei, Zhang Bingjun, Tan Xiao, Meng Yutian",1,
2015,Project Almanac,,Paramount Pictures,"Dean Israelite (director); Andrew Stark, Jason Pagan, Andrew Deutschman (screenplay); Jonny Weston, Sofia Black-D'Elia",2,
2015,Running Man,,Wanda Media,"Hu Jia, Cen Junyi (director/screenplay); Angelababy, Wang Baoqiang, Li Chen,Michael Chen, Ryan Cheng",1,
2015,Wild Card,,Lions Gate Entertainment,"Simon West (director); William Goldman (screenwriter); Jason Statham, Stanley Tucci, Sofía Vergara, Milo Ventimiglia, Michael Angarano, Anne Heche, Hope Davis, Jason Alexander, Cedric the Entertainer, Max Casella",2,
2015,It Follows,,RADiUS-TWC,"David Robert Mitchell (director/screenplay); Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary, Olivia Luccardi, Lili Sepe",1,
2015,C'est si bon,,CJ Entertainment,"Kim Hyun-seok (director/screenplay); Jung Woo, Kim Yoon-seok, Han Hyo-joo,Kim Hee-ae",2,
2015,Yennai Arindhaal,,M K Enterprises,"Gautham Menon (director/screenplay); Thiagarajan Kumararaja (screenplay);Ajith Kumar, Arun Vijay, Trisha, Anushka Shetty, Parvathy Nair, Vivek",0,
2015,Shaun the Sheep Movie,,StudioCanal Aardman Animations,"Mark Burton (director); Justin Fletcher, John Sparkes",0,
2015,Jupiter Ascending,,Warner Bros.,"The Wachowskis (director/screenplay); Mila Kunis, Channing Tatum, Sean Bean,Eddie Redmayne, Douglas Booth, Terry Gilliam, James D'Arcy",1,
2015,Old Fashioned,,Freestyle Releasing,"Rik Swartzwelder (director/screenplay); Rik Swartzwelder, Elizabeth Roberts, LeJon Woods, Tyler Hollinger",1,
2015,Somewhere Only We Know,,Kaila Pictures,"Xu Jinglei (director/screenplay); Wang Shuo (screenplay) Kris Wu, Xu Jinglei,Wang Likun, Gordon Alexander, Juck Zhang, Re Yizha",1,
2015,The Duff,,CBS Films / Lions Gate Entertainment,"Ari Sandel (director); Josh A. Cagan (screenplay); Mae Whitman, Robbie Amell,Bella Thorne, Bianca A. Santos, Allison Janney, Ken Jeong",2,
2015,Fifty Shades of Grey,,Universal Studios,"Sam Taylor-Johnson (director); Kelly Marcel, Patrick Marber, Mark Bomback(screenplay); Jamie Dornan, Dakota Johnson, Victor Rasuk, Eloise Mumford, Luke Grimes, Rita Ora, Max Martini, Dylan Neal, Callum Keith Rennie, Jennifer Ehle,Marcia Gay Harden",0,
2015,Dragon Blade,,Alibaba Pictures Group,"Daniel Lee (director/screenplay); Jackie Chan, Choi Siwon, John Cusack, Adrien Brody, James Lee Guy, Lorie",2,
2015,Zhong Kui: Snow Girl and the Dark Crystal,,Beijing Enlight Pictures,"Peter Pau (director); Zhao Tianyu (screenplay); Li Bingbing, Chen Kun, Yang Zishan, Winston Chao, Bao Bei'er",0,
2015,Badlapur,,Eros International,"Sriram Raghavan (director/screenplay); Arijit Biswas (screenplay); Varun Dhawan,Nawazuddin Siddiqui, Huma Qureshi, Yami Gautam, Vinay Pathak",1,
2015,Hot Tub Time Machine 2,,Paramount Pictures /Metro-Goldwyn-Mayer,"Steve Pink (director); Josh Heald (screenplay); Craig Robinson, Adam Scott, Rob Corddry, Chevy Chase, Gillian Jacobs, Clark Duke",2,
2015,"McFarland, USA",,Walt Disney Pictures,"Niki Caro (director); William Broyles, Jr., Grant Thompson (screenplay); Kevin Costner, Maria Bello, Morgan Saylor",0,
2015,The Second Best Exotic Marigold Hotel,,Fox Searchlight Pictures,"John Madden (director); Ol Parker (screenplay); Judi Dench, Bill Nighy, Maggie Smith, Dev Patel, Celia Imrie, Richard Gere, Penelope Wilton",1,
2015,A la mala,,Lionsgate,"Pedro Pablo Ibarra (director); Issa López, Ari Rosen (screenplay); Aislinn Derbez,Mauricio Ochmann",0,
2015,Focus,,Warner Bros.,"Glenn Ficarra, John Requa (director/screenplay); Will Smith, Margot Robbie,Rodrigo Santoro",2,
2015,The Lazarus Effect,,Relativity Media,"David Gelb (director); Luke Dawson, Jeremy Slater (screenplay); Olivia Wilde,Mark Duplass, Donald Glover",1,
2015,Chappie,,Columbia Pictures,"Neill Blomkamp (director/screenplay); Terri Tatchell (screenplay); Sharlto Copley,Ninja, Yolandi Visser, Dev Patel, Hugh Jackman, Sigourney Weaver",2,
2015,Faults,,Screen Media Films,"Riley Stearns (director/screenplay); Mary Elizabeth Winstead, Leland Orser, Beth Grant, Jon Gries, Lance Reddick, Chris Ellis",2,
2015,Road Hard,,FilmBuff,"Adam Carolla (director/screenplay); Kevin Hench (screenplay); David Koechner,David Alan Grier, Jay Mohr, Larry Miller, Diane Farr",2,
2015,Unfinished Business,,20th Century Fox,"Ken Scott (director); Steve Conrad (screenplay); Vince Vaughn, Tom Wilkinson,Dave Franco, Sienna Miller, Nick Frost",2,
2015,Cinderella,,Walt Disney Pictures,"Kenneth Branagh (director); Aline Brosh McKenna, Chris Weitz (screenplay); Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter, Holliday Grainger, Sophie McShera, Stellan Skarsgård, Nonso Anozie, Derek Jacobi,Hayley Atwell, Rob Brydon",2,
2015,NH10,,Eros International,"Navdeep Singh (director); Sudip Sharma (screenplay); Anushka Sharma, Neil Bhoopalam, Deepti Naval, Darshan Kumar",2,
2015,Run All Night,,Warner Bros.,"Jaume Collet-Serra (director); Brad Inglesby (screenplay); Liam Neeson, Joel Kinnaman, Ed Harris",2,
2015,X+Y,,Minnow Films,"Morgan Matthews, (director); Asa Butterfield, Sally Hawkins, Rafe Spall, Eddie Marsan",1,
2015,Furious 7,,Universal Studios,"James Wan (director); Chris Morgan (screenplay); Vin Diesel, Paul Walker,Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson, Chris Bridges, Jordana Brewster, Jason Statham, Kurt Russell, Lucas Black, Djimon Hounsou, Tony Jaa,Ronda Rousey, Nathalie Emmanuel",1,
2015,Danny Collins,,Bleecker Street,"Dan Fogelman (director/screenplay); Al Pacino, Annette Bening, Jennifer Garner,Bobby Cannavale, Christopher Plummer",0,
2015,Do You Believe?,,Pure Flix Entertainment,"Jonathan M. Gunn (director); Chuck Konzelman, Cary Solomon (screenplay);Sean Astin, Mira Sorvino, Ted McGinley, Andrea Logan White, Madison Pettis,Brian Bosworth, Alexa PenaVega, Cybill Shepherd, Lee Majors",1,
2015,Jalaibee,,Redrum Films,"Yasir Jaswal (director/screenplay); Danish Taimoor, Ali Safina, Wiqar Ali Khan,Zhalay Sarhadi, Sajid Hasan, Sabeeka Imam, Adnan Jaffar, Uzair Jaswal, Salman Shaukat",0,
2015,The Divergent Series: Insurgent,,Summit Entertainment,"Robert Schwentke (director); Brian Duffield, Akiva Goldsman (screenplay);Shailene Woodley, Kate Winslet, Theo James, Ansel Elgort, Naomi Watts, Octavia Spencer, Zoe Kravitz, Maggie Q, Jai Courtney, Ray Stevenson, Mekhi Phifer,Miles Teller, Ben Lamb, Christian Madsen",0,
2015,The Gunman,,Open Road Films,"Pierre Morel (director); Jean-Patrick Manchette, Pete Travis, Don Macpherson(screenplay); Sean Penn, Javier Bardem, Ray Winstone, Idris Elba, Mark Rylance",2,
2015,Get Hard,,Warner Bros.,"Etan Cohen (director); Jay Martel, Ian Roberts (screenplay); Will Ferrell, Kevin Hart, Alison Brie, Craig T. Nelson, T.I.",2,
2015,Home,,20th Century Fox /DreamWorks Animation,"Tim Johnson (director); Tom J. Astle, Matt Ember (screenplay); Jim Parsons,Rihanna, Jennifer Lopez, Steve Martin, Matt Jones",2,
2015,Detective Byomkesh Bakshy!,,Yash Raj Films,"Dibakar Banerjee (director/screenplay); Urmi Juvekar, Sharadindu Bandyopadhyay (screenplay); Sushant Singh Rajput, Anand Tiwari, Swastika Mukherjee, Divya Menon, Neeraj Kabi, Meiyang Chang, Aryann Bhowmik",0,
2015,Woman in Gold,,The Weinstein Company,"Simon Curtis (director); Alexi Kaye Campbell (screenplay); Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes, Tatiana Maslany, Max Irons, Charles Dance, Elizabeth McGovern, Jonathan Pryce",1,
2015,Beyond the Mask,,Burns Family Studios,"Chad Burns (director); Paul McCusker (screenplay); John Rhys-Davies, Kara Killmer, Steve Blackwood, Andrew Cheney, Adetokumboh M'Cormack",1,
2015,Broken Horses,,Vinod Chopra Films,"Vidhu Vinod Chopra (director/screenplay); Abhijat Joshi (screenplay); María Valverde, Thomas Jane, Anton Yelchin, Vincent D'Onofrio, Sean Patrick Flanery, Wes Chatham, Chris Marquette, Sadie Alexandru, Jeremy Luke",2,
2015,The Longest Ride,,20th Century Fox,"George Tillman, Jr. (director); Craig Bolotin (screenplay); Britt Robertson,Oona Chaplin, Scott Eastwood, Alan Alda, Jack Huston, Lolita Davidovich",2,
2015,Candlestick,,Indie Rights,"Christopher Presswell (director); András Forgács, Christopher Presswell (screenplay); Andrew Fitch, Isla Ure, Nigel Thomas, Tom Knight",2,
2015,Avengers: Age of Ultron,,Marvel Studios,"Joss Whedon (director/screenplay); Robert Downey, Jr., Chris Hemsworth,Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, Don Cheadle,Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders,Anthony Mackie, Hayley Atwell, Idris Elba, Stellan Skarsgård, James Spader,Samuel L. Jackson",1,
2015,Child 44,,Summit Entertainment,"Daniel Espinosa (director); Richard Price (screenplay); Tom Hardy, Joel Kinnaman, Noomi Rapace, Jason Clarke, Vincent Cassel, Gary Oldman",1,
2015,Monkey Kingdom,,Disneynature,"Mark Linfield, Alastair Fothergill (director); Tina Fey (narrator)",2,
2015,Paul Blart: Mall Cop 2,,Columbia Pictures,"Andy Fickman (director); Kevin James, Nick Bakay (screenplay); Kevin James,Raini Rodriguez, Neal McDonough, Molly Shannon, Daniella Alonso, David Henrie",0,
2015,True Story,,Fox Searchlight Pictures,"Rupert Goold (director); David Kajganich (screenplay); Jonah Hill, James Franco, Felicity Jones, Gretchen Mol",2,
2015,Little Boy,,Open Road Films,"Alejandro Gómez Monteverde (director/screenplay); Pepe Portillo (screenplay); Jakob Salvati, David Henrie, Kevin James, Emily Watson, Ted Levine, Michael Rapaport",2,
2015,The Age of Adaline,,Lions Gate Entertainment,"Lee Toland Krieger (director); J. Mills Goodloe, Salvador Paskowitz(screenplay); Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn,Amanda Crew",1,
2015,Far from the Madding Crowd,,Fox Searchlight Pictures,"Thomas Vinterberg (director); David Nicholls (screenplay); Carey Mulligan,Matthias Schoenaerts, Michael Sheen, Tom Sturridge, Juno Temple",0,
2015,Gabbar is Back,,Bhansali Productions,"Krish (director); Rajat Arora (screenplay); Akshay Kumar, Shruti Hassan,Jaideep Ahlawat, Kareena Kapoor, Chitrangda Singh",2,
2015,Welcome to Me,,Alchemy,"Shira Piven (director); Eliot Laurence (screenplay); Kristen Wiig, James Marsden, Linda Cardellini, Tim Robbins, Joan Cusack, Wes Bentley, Jennifer Jason Leigh, Alan Tudyk",2,
2015,Hot Pursuit,,Warner Bros. / New Line Cinema / Metro-Goldwyn-Mayer,"Anne Fletcher (director); David Feeney, John Quaintance (screenplay); Reese Witherspoon, Sofía Vergara, Jim Gaffigan, John Carroll Lynch",1,
2015,Maggie,,Roadside Attractions,"Henry Hobson (director); John Scott (screenplay); Arnold Schwarzenegger,Abigail Breslin, Joely Richardson",2,
2015,Piku,,MSM Motion Pictures /Rising Sun Films,"Shoojit Sircar (director); Juhi Chaturvedi (screenplay);
Amitabh Bachchan, Deepika Padukone, Irrfan Khan, Moushumi Chatterjee,Jisshu Sengupta",2,
2015,Mad Max: Fury Road,,Warner Bros.,"George Miller (director/screenplay); Nick Lathouris, Brendan McCarthy(screenplay); Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne,Rosie Huntington-Whiteley, Riley Keough, Zoë Kravitz, Abbey Lee, Courtney Eaton",1,
2015,Pitch Perfect 2,,Universal Studios,"Elizabeth Banks (director); Kay Cannon (screenplay); Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow, Skylar Astin, Adam DeVine, Anna Camp, Alexis Knapp, Hana Mae Lee, Ester Dean, Chrissie Fit, Shelley Regner,Kelley Jakle, Ben Platt, Birgitte Hjort Sørensen, Flula Borg, Katey Sagal, John Michael Higgins, Elizabeth Banks",0,
2015,Where Hope Grows,,Roadside Attractions,"Chris Dowling (director/screenplay); Kristoffer Polaha, David DeSanctis, William Zabka, Brooke Burns, McKaley Miller",2,
2015,3 Bahadur,,Waadi Animations,"Sharmeen Obaid Chinoy (director); Muneeba Yaseen, Hanzala Shahid, Zuhab Khan, Behroze Sabzwari, Alyy Khan, Mustafa Changazi, Badar Qureshi, Nadir Siddiqui, Wasif Arshad, Khalid Ahmed, Bassam Shazali, Hammad Siddiqui",1,
2015,Poltergeist,,20th Century Fox / Metro-Goldwyn-Mayer,"Gil Kenan (director); David Lindsay-Abaire (screenplay); Sam Rockwell, Jared Harris, Rosemarie DeWitt, Saxon Sharbino, Kyle Catlett, Kennedi Clements,Jane Adams",0,
2015,Tanu Weds Manu Returns,,Eros International,"Anand L. Rai (director); Himanshu Sharma (screenplay); R Madhavan,Kangana Ranaut, Jimmy Shergill, Deepak Dobriyal, Eijaz Khan, Swara Bhaskar, Mohammed Zeeshan Ayyub",1,
2015,The Human Centipede 3,,IFC Midnight,"Tom Six (director/screenplay); Dieter Laser, Laurence R. Harvey, Eric Roberts",1,
2015,Tomorrowland,,Walt Disney Pictures,"Brad Bird (director/screenplay); Damon Lindelof (screenplay); George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy, Thomas Robinson,Kathryn Hahn, Judy Greer, Keegan-Michael Key, Tim McGraw",2,
2015,Aloha,,Columbia Pictures,"Cameron Crowe (director/screenplay); Bradley Cooper, Emma Stone, Alec Baldwin, Rachel McAdams, Bill Murray, John Krasinski, Danny McBride, Jay Baruchel",2,
2015,San Andreas,,Warner Bros. / New Line Cinema,"Brad Peyton (director); Carey Hayes, Chad Hayes (screenwriter); Dwayne Johnson, Alexandra Daddario, Carla Gugino, Paul Giamatti, Kylie Minogue,Ioan Gruffudd, Colton Haynes, Will Yun Lee, Archie Panjabi, Todd Williams",1,
2015,Entourage,,Warner Bros.,"Doug Ellin (director/screenplay); Adrian Grenier, Kevin Connolly, Kevin Dillon,Jerry Ferrara, Jeremy Piven, Billy Bob Thornton, Haley Joel Osment",0,
2015,Insidious: Chapter 3,,Focus Features /Gramercy Pictures,"Leigh Whannell (director/screenplay); Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell, Lin Shaye",1,
2015,Love & Mercy,,Lions Gate Entertainment,"Bill Pohlad (director); Oren Moverman, Michael Alan Lerner (screenplay); John Cusack, Paul Dano, Elizabeth Banks, Paul Giamatti",2,
2015,Spy,,20th Century Fox,"Paul Feig (director/screenplay); Melissa McCarthy, Jason Statham, Rose Byrne, Miranda Hart, Bobby Cannavale, Allison Janney, Jude Law",1,
2015,Jurassic World,,Universal Studios /Legendary Pictures,"Colin Trevorrow (director/screenplay); Derek Connolly, Rick Jaffa, Amanda Silver (screenplay); Chris Pratt, Bryce Dallas Howard, Vincent D'Onofrio, Ty Simpkins, Nick Robinson, Omar Sy, B. D. Wong, Irrfan Khan",2,
2015,Maya,,Twister Films,"Jawad Bashir (director); Ahmed Abdul Rehman, Hina Jawad, Zain Afzal, Sheikh Mohammad Ahmed, Anam Malik",2,
2015,ABCD 2,,Walt Disney Pictures /UTV Motion Pictures,"Remo D'Souza (director); Tushar Hiranandani (screenplay); Varun Dhawan,Dharmesh Yelande, Shraddha Kapoor, Lauren Gottlieb, Prabhu Deva, Raghav Juyal",2,
2015,Dope,,Open Road Films,"Rick Famuyiwa (director/screenplay); Shameik Moore, Tony Revolori, Kiersey Clemons, Blake Anderson, Zoë Kravitz, A$AP Rocky, Tyga, Keith Stanfield,Casey Veggies, Vince Staples, Chanel Iman, Rick Fox",1,
2015,Inside Out,,Walt Disney Pictures /Pixar Animation Studios,"Pete Docter (director/screenplay), Ronnie del Carmen (director); Meg LeFauve, Josh Cooley (screenplay); Amy Poehler, Phyllis Smith, Bill Hader,Lewis Black, Mindy Kaling, Kaitlyn Dias, Diane Lane, Kyle MacLachlan",2,
2015,Mr. Holmes,,Miramax / Roadside Attractions,"Bill Condon (director); Jeffrey Hatcher (screenplay); Ian McKellen, Laura Linney, Hiroyuki Sanada, Hattie Morahan, Roger Allam",1,
2015,Max,,Warner Bros. / Metro-Goldwyn-Mayer,"Boaz Yakin (director/screenplay); Sheldon Lettich (screenplay); Josh Wiggins,Thomas Haden Church, Lauren Graham",1,
2015,Ted 2,,Universal Studios,"Seth MacFarlane (director/screenplay); Alec Sulkin, Wellesley Wild(screenplay) Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Giovanni Ribisi, John Slattery, Jessica Barth, Morgan Freeman",1,
2015,Faith of Our Fathers,,Pure Flix Entertainment /Samuel Goldwyn Films,"Carey Scott (director); Stephen Baldwin, Kevin Downes, David A. R. White,Rebecca St. James, Si Robertson, Candace Cameron Bure",1,
2015,Magic Mike XXL,,Warner Bros.,"Gregory Jacobs (director); Channing Tatum (screenplay); Channing Tatum, Matt Bomer, Joe Manganiello, Kevin Nash, Adam Rodriguez, Gabriel Iglesias, Andie MacDowell, Amber Heard, Jada Pinkett Smith, Elizabeth Banks, Donald Glover,Michael Strahan",1,
2015,Terminator Genisys,,Paramount Pictures,"Alan Taylor (director); Laeta Kalogridis, Patrick Lussier (screenplay); Arnold Schwarzenegger, J. K. Simmons, Emilia Clarke, Jason Clarke, Jai Courtney, Lee Byung-hun, Matthew Smith, Dayo Okeniyi, Courtney B. Vance, Michael Gladis,Sandrine Holt, Aaron V. Williamson",2,
2015,Amy,,Altitude Film Distribution,"Asif Kapadia (director); Matt Curtis (screenplay); Amy Winehouse, Mitchell Winehouse, Janis Winehouse, Raye Cosbert, Nick Shymansky, Blake Fielder-Civil,Tyler James, Juliette Ashby, Lauren Gilbert, Darcus Beese, Salaam Remi, Mark Ronson, Tony Bennett",1,
2015,Baahubali: The Beginning,,Arka Media Works,"S. S. Rajamouli (director/screenplay); Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah, Ramya Krishnan, Sathyaraj, Sudeep",1,
2015,Minions,,Universal Studios /Illumination Entertainment,"Pierre Coffin, Kyle Balda (directors); Brian Lynch (screenplay); Pierre Coffin,Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan,Geoffrey Rush",1,
2015,Self/less,,Focus Features /Gramercy Pictures,"Tarsem Singh (director); Alex Pastor, David Pastor (screenplay); Ryan Reynolds,Ben Kingsley, Natalie Martinez, Victor Garber, Matthew Goode, Derek Luke",2,
2015,The Gallows,,Warner Bros. / New Line Cinema,"Travis Cluff, Chris Lofing (director/screenplay) Cassidy Gifford, Pfeifer Brown, Ryan Shoos, Reese Mishler",1,
2015,Ant-Man,,Marvel Studios,"Peyton Reed (director); Adam McKay, Paul Rudd (screenplay); Paul Rudd,Evangeline Lilly, Corey Stoll, Bobby Cannavale, Michael Peña, Tip ""T.I."" Harris,Anthony Mackie, Wood Harris, Judy Greer, David Dastmalchian, Michael Douglas",2,
2015,Bajrangi Bhaijaan,,Salman Khan Films,"Kabir Khan (director/screenplay); Salman Khan, Kareena Kapoor",1,
2015,Trainwreck,,Universal Studios,"Judd Apatow (director/screenplay); Amy Schumer (screenplay); Amy Schumer,Tilda Swinton, Bill Hader, Brie Larson, Colin Quinn, Barkhad Abdi, Mike Birbiglia,Jon Glaser, Vanessa Bayer, John Cena, Ezra Miller, Derek Jeter, Method Man,Norman Lloyd, Jim Norton, Daniel Radcliffe, Marisa Tomei",0,
2015,Bin Roye,,MD Films,"Momina Duraid (director); Mahira Khan, Humayun Saeed, Armeena Khan, Adeel Hussain, Zeba Bakhtiar, Javed Sheikh",0,
2015,Wrong No.,,YNH Films,"Yasir Nawaz (director); Danish Taimoor, Sohai Ali Abro, Jawed Sheikh, Shafqat Cheema, Danish Nawaz, Nadeem Jafri",2,
2015,Bad Night,,GRB Entertainment,"Chris Riedell, Nick Riedell (directors); Daniel Kinno (screenplay); Jenn McAllister, Lauren Luthringshausen, Julianna Guill, Judy Marte, Matt Walsh, Owen Smith, Molly Ringwald, June Diane Raphael, Casey Wilson, Adam Pally, Eric Edelstein",2,
2015,Smosh: The Movie,,Lionsgate,"Alex Winter (director); Eric Falconer (writer); Ian Hecox, Anthony Padilla, Jenna Marbles, Grace Helbig, Harley Morenstein, Michael Ian Black, Shane Dawson,Mark Fischbach, Steve Austin",1,
2015,Paper Towns,,20th Century Fox,"Jake Schreier (director); Scott Neustadter, Michael H. Weber (screenplay); Nat Wolff, Cara Delevingne",2,
2015,Pixels,,Columbia Pictures,"Chris Columbus (director); Tim Herlihy, Tim Dowling (screenplay); Adam Sandler,Kevin James, Josh Gad, Peter Dinklage, Michelle Monaghan, Brian Cox, Ashley Benson, Jane Krakowski",2,
2015,Southpaw,,The Weinstein Company,"Antoine Fuqua (director); Kurt Sutter (screenplay); Jake Gyllenhaal, Rachel McAdams, Naomie Harris, Forest Whitaker, Victor Ortiz, Tyrese Gibson",1,
2015,Vacation,,Warner Bros. / New Line Cinema,"John Francis Daley, Jonathan Goldstein (directors/screenplay); Ed Helms,Christina Applegate, Leslie Mann, Chris Hemsworth, Charlie Day, Beverly D'Angelo, Chevy Chase",2,
2015,Karachi Se Lahore,,Showcase Films,"Wajahat Rauf (director); Shehzad Sheikh, Ayesha Omer, Ahmed Ali, Aashir Wajahat, Yasir Hussain, Javed Sheikh, Eshita Syed, Mantaha Tareen Maqsood,Rasheed Naz",1,
2015,Mission: Impossible – Rogue Nation,,Paramount Pictures,"Christopher McQuarrie (director/screenplay); Tom Cruise, Jeremy Renner, Simon Pegg, Ving Rhames, Rebecca Ferguson, Alec Baldwin",2,
2015,Boruto: Naruto the Movie,,Toho / Studio Pierrot,"Hiroyuki Yamashita (director); Yuuko Sanpei, Kokoro Kikuchi, Junko Takeuchi,Noriaki Sugiyama",0,
2015,Dark Places,,A24 Films,"Gilles Paquet-Brenner (director/screenplay); Charlize Theron, Christina Hendricks,Nicholas Hoult, Chloë Grace Moretz",2,
2015,Fantastic Four,,20th Century Fox / Marvel Entertainment,"Josh Trank (director); Jeremy Slater, Simon Kinberg (screenplay); Miles Teller,Michael B. Jordan, Kate Mara, Jamie Bell, Toby Kebbell",1,
2015,The Gift,,STX Entertainment,"Joel Edgerton (director/screenplay); Jason Bateman, Rebecca Hall, Joel Edgerton",2,
2015,Ricki and the Flash,,TriStar Pictures,"Jonathan Demme (director); Diablo Cody (screenplay); Meryl Streep, Kevin Kline,Mamie Gummer, Audra McDonald, Sebastian Stan, Ben Platt, Rick Springfield",0,
2015,Shah,,Logos Film & Media,"Adnan Sarwar (director); Adnan Sarwar, Sardar Baloch, Gulab Chandio, Kiran Chaudhry, Faiz Chohan, Miraal Sara, Adeel Raees",2,
