Year,Title,Genre,Director,Cast,Level
2015,Khushi Khushiyagi,Romance,Yogi G. Raj,"Ganesh, Amulya, Nandini Rai",2
2015,Shivam,Thriller,Srinivasa Raju,"Upendra, Saloni Aswani, Ragini Dwivedi, P. Ravi Shankar, Makarand Deshpande",2
2015,Paipoti,Romance,K. Ram Narayan,"Gururaj, Niranjan Shetty, Poojasri",2
2015,Shabarimale Yatre,Devotional,Sairam Shanthakumar,"Aniruddh, Akshay Kumar, Guruprasad, Vivek",2
2015,Jackson,Comedy,Sanath Kumar,"Duniya Vijay, Pavana Gowda, Rangayana Raghu",2
2015,Siddhartha,Romance,Prakash,"Vinay Rajkumar, Apoorva Arora, Sudharani",2
2015,Mirchi Mandakki Kadak Chai,Comedy/Romance,Sanjotha,"Badikella Pradeep, Apoorva Bharadwaj, Sachin BG, Namratha",2
2015,Suvvi,Romance,M. C. Venkatesh,"Arjun, Manasi, Ramya, M. D. Kaushik",2
2015,Ond Chance Kodi,Comedy,Sathyamitra,"Ravishankar Gowda, Patre Ajith, Dr. Nandini, Linto, Shruti, B. C. Patil, Tennis Krishna, Sadhu Kokila",2
2015,Abhinetri,Biographical drama,Sathish Pradhan,"Pooja Gandhi, Atul Kulkarni, P. Ravi Shankar, Makarand Deshpande, Neethu",2
2015,Prana Koduve Gelathi,Romance,Yathiesh B. S.,"Kiran Karla, Raksha Shenoy",2
2015,Raja Rajendra,Fantasy / Comedy,Pon Kumaran,"Sharan, Ishita Dutta, Vimala Raman, P. Ravi Shankar, Sadhu Kokila",2
2015,Eradu Kanasu,Drama,Dorai-Bhagavan,"Rajkumar, Kalpana , Manjula, K. S. Ashwath, Balakrishna",2
2015,DK,Satire comedy,Vijay Kampali,"Prem, Chaitra Chandranath, Rishikumara Swamy, Sunny Leone",2
2015,Kotigond Love Story,Romance,Jaggu Sirsi,"Rakesh Adiga, Shubha Poonja, Heather Elizabeth Tully, Biradar",2
2015,Mythri,Drama,Giriraj,"Mohanlal, Puneeth Rajkumar, Archana, Bhavana, Atul Kulkarni",2
2015,Benkipatna,Romance,TK Dayanand,"Prathap Narayan, Anushri, Arun Sagar, Prakash Belawadi, Jahangir",2
2015,Rudra Tandava,Action,Guru Deshpande,"Chiranjeevi Sarja, Radhika Kumaraswamy, Krishna, Kumar Govind, Girish Karnad , P. Ravi Shankar",2
2015,A Day in the City,Thriller,Venkat Bharadwaj,"Srinivasa Kappanna, Laxman Shivashankar, Sridharan, Manohar Ramakumar, Lokesh Chandra",2
2015,Flop,Drama,Karan Kumar,"Vijeth Gowda, Sukrutha Wagle, Sandeep, Akhil",2
2015,Goa,Romantic comedy,Surya,"Komal Kumar, Tarun Chandra, Srikanth, Sharmila Mandre, Rachel Waiz, Sonu Gowda",2
2015,Ondu Romantic Crime Kathe,Crime,Sam J. Chaitanya,"Arun, Ashwini Chandrashekar, Poojashree,",2
2015,Om,"Action, Romance",Upendra,"Shiva Rajkumar, Prema, Srishanthi, Sadhu Kokila, Honnavalli Krishna",2
2015,Master Mind,Action,Kumar Govind,"Rajvardhan, Kumar Govind, Thamanna, Bhakthi, Bullet Prakash",2
2015,Raincoat,Romance,Gaali Lucky,"Vijay Jetty, Apoorva Rai, Ramya Ramachandran",2
2015,Q,Drama,Sanjeev Megothi,"Neeraj Shah, Akhila, Neha Saxena, Dhanraj",2
2015,Krishna Leela,Romance,Shashank,"Ajay Rao, Mayuri, Rangayana Raghu",2
