YEAR,TITLE,Genre,DIRECTOR,CAST,Level
2005,Achuvinte Amma,,Sathyan Anthikkad,"Narain, Meera Jasmine",1
2005,Albhuthadweep,,Vinayan,"Prithviraj, Mallika Kapoor",1
2005,Alice in Wonderland,,Sibi Malayil,"Jayaram, Vineeth, Laya, Sandhya",1
2005,Ananthabhadram,,Santhosh Sivan,"Prithviraj, Kalabhavan Mani, Kavya Madhavan, Riya Sen",1
2005,Annorikkal,,Sathyachandran Wayanad,"Kalabhavan Mani, Narain, Kavya Madhavan",1
2005,Banglavil Outha,,Santhivila Dinesh,"Lal, Sajan Surya, Bhavana",1
2005,Ben Johnson,,Anil C. Menon,"Kalabhavan Mani, Indraja",1
2005,Bharathchandran I.P.S.,,Ranji Panickar,Suresh Gopi,1
2005,Boy,,Vinayan,Manikkuttan,1
2005,Bus Conductor,,V. M. Vinu,"Mammootty, Jayasurya, Bhavana",1
2005,By the People,,Jayaraj,Narain,1
2005,Chandrolsavam,,Ranjith,"Mohanlal, Meena",1
2005,Chanthupottu,,Laljose,"Dileep, Gopika",1
2005,Daivanamathil,,Jayaraj,"Prithviraj, Bhavana",1
2005,December,,,,1
2005,Deepangal Sakshi,,K. B. Venu,"Indrajith Sukumaran, Manoj K. Jayan, Navya Nair",1
2005,Finger Print,,Satish Paul,"Jayaram, Indrajith, Gopika",1
2005,Five Fingers,,Sanjeev Raj,"Kunchacko Boban, Karthika",1
2005,Hai,,K. R. Ramdas,"Jagathy Sreekumar, Riyas Khan",1
2005,Hridayathil Sookshikkan,,Rajesh Pillai,"Kunchako Boban, Bhavana Menon",1
2005,Immini Nalloraal,,Rajasenan,"Jayasurya, Navya Nair",1
2005,Iruvattam Manavaatti,,Sanal,"Kunchacko Boban, Kavya Madhavan",1
2005,Isra,,Prakash Chokkad,"Jagathy Sreekumar, Riyas Khan",1
2005,Junior Senior,,G. Sreekandan,"Kunchako Boban, Mukesh",1
2005,Kalyana Kurimanam,,,"Abbas, Vijayaraghavan",1
2005,Kanne Madanguka,,Alberrt Antoni,"Murali, Navya Nair",1
2005,Kochi Rajavu,,Johny Antony,"Dileep, Kavya",1
2005,Krithyam,,Viji Thampi,"Prithviraj, Pavithra",1
2005,Lokanathan IAS,,Anil,Kalabhavan Mani,1
2005,Maanikyan,,K. K. Haridas,Kalabhavan Mani,1
2005,Makalkku,,Jayaraj,"Suresh Gopi, Shobana",1
2005,Maniyarakallan,,Rajan P. Dev,,1
2005,Manjupeyyum Munpe,,,,1
2005,Mayookham,,Hariharan,"Saiju Kurup, Mamta Mohandas",1
2005,Naran,,Joshy,Mohanlal,1
2005,Nerariyan CBI,,K. Madhu,"Mammootty, Mukesh",1
2005,Oraal,,Kukku Surendran,Mukesh,1
