#year,Title,Director,Cast,Genre,level,
2015,Lokmanya Ek Yugpurush,Om Raut,"Subodh Bhave,Chinmay Mandlekar,Priya Bapat","Drama, Action",0,
2015,Classmates,Aditya Ajay Sarpotdar,"Ankush Choudhary,Sai Tamhankar, Sachit Patil, Sonalee Kulkarni,Siddharth Chandekar, Sushant Shelar, Suyash Tilak, Pallavi Patil","Romantic,comedy,suspense",2,
2015,Balkadu,Atul Kale,"Umesh Kamat, Neha Pendse","Fantasy,Drama",1,
2015,Ek Tara,Avdhoot Gupte,"Santosh Juvekar,Tejaswini Pandit","Music, Drama",2,
2015,Baji,Nikhil Mahajan,"Shreyas Talpade,Amruta Khanvilkar,Jitendra Joshi","Vigilante,Action,Thriller",2,
2015,Mitwaa,Swapna Waghmare Joshi,"Swapnil Joshi, Sonalee Kulkarni, Prarthana Behere","Romantic,Drama",2,
2015,Chitrafit - 3.0 Megapixel,Divakar Ghodake,"Ashish Pathode,Seema Azmi, Ravi Patwardhan, Gauri Shankar","Romance,Drama",1,
2015,Razzakar,Raj Durge,"Siddharth Jadhav,Jyoti Subhash","Drama, Action",1,
2015,Bugadi Maazi Sandli Ga,Manasingh Pawar,"Kashyap Parulekar,Manasi Moghe, Mohan Joshi, Deepashree Chapekar, Ramesh Bhatkar, Ila Bhate","Dance,Romance,Drama",0,
2015,Just Gammat,Milind Arun Kavade,"Sanjay Narvekar,Jitendra Joshi, Smita Gondkar, Aditi Sarangdhar, Atul Todankar, Deepak Shirke, Vijay Patkar",Comedy,0,
2015,Coffee: Ani Barach Kahi,Prakash Kunte,"Vaibbhav Tatwawdi, Prarthana Behere, Neha Mahajan,Suyash Tilak, Bhushan Pradhan","Romance,Drama",1,
2015,Prem At First Sight,Santosh Mainkar,"Sumaydh Gaikwad, Shweta Pagar, Suchet Gavai","Romance,Action",1,
2015,Kaay Raav Tumhi,Mrunalini Patil,"Hemant Dhome, Ravindra Mahajani, Satish Pulekar,Yatin Karyekar, Niyati Joshi",Comedy,1,
2015,Kaakan,Kranti Redkar,"Jitendra Joshi, Urmila Kanetkar","Romance,Drama",2,
2015,What About Savarkar?,"Rupesh Katare, Nitin Gawde","Sharad Ponkshe, Avinash Narkar, Atul Todankar, Shrikant Bhide, Sara Shravan","Drama,Action",1,
2015,Court,Chaitanya Tamhane,"Vivek Gomber, Geetanjali Kulkarni, Vira Sathidar, Pradeep Joshi, Usha Bane, Shirish Pawar","Drama,Satire",2,
2015,Te Don Diwas,Devendra Dodke,"Mohan Joshi, Alka Kubal, Arun Nalavade, Dr. Vilas Ujawane, Prasiddhi Ayalwar, Sanjeet Dhuri, Chinmay Deshkar",Drama,0,
2015,Aatli Batli Phutli,Amol Padave,"Smita Talwalkar, Sampada Jogalikar - Kulkarni, Sharayu, Aney, Jivan, Shreyali, Viraj, Aditya, Purva",Comedy,1,
2015,Mhais,Shekhar Nayeek,"Jitendra Joshi, Sanjay Mone",Comedy,0,
