YEAR,Title,Genre,Director,Cast,LEVEL
2000,Paramasivan,Action,P. Vasu,"Ajith Kumar, Laila, Jayaram",2
2000,Saravana,Action,K. S. Ravikumar,"Silambarasan, Jyothika, Prakash Raj",2
2000,Aadhi,Action,Ramana,"Vijay, Trisha",2
2000,Pasa Kiligal,Drama,Amirtham,"Prabhu, Murali, Vineeth, Navya Nair, Malavika, Roja",2
2000,Dishyum,Romance,Sasi,"Jiiva, Sandhya",2
2000,Idhaya Thirudan,Romance,Saran,"Jayam Ravi, Kamna Jethmalani, Prakash Raj",2
2000,Amirtham,Romance,K. Kannan,"Navya Nair, Ganesh",2
2000,Chithiram Pesuthadi,Action,Mysskin,"Narain, Bhavana",2
2000,June R,Drama,Revathy S. Varma,"Jyothika, Kushboo, Saritha",2
2000,Kodambakkam,Drama,K. P. Jagan,"Nandha, Diya, Tejashree",2
2000,Kalabha Kadhalan,Romance,Igore,"Arya, Renuka Menon, Akshaya",2
2000,Kalvanin Kadhali,Romance,Thamilvaanan,"S. J. Surya, Nayantara",2
2000,Madarasi,Action,Arjun,"Arjun, Vedhika",2
2000,Nagareega Komali,Romance,Ramji S.Balan,"Jai Sakthi, Neethashree",2
2000,Thambi,Action,Seeman,"R. Madhavan, Pooja",2
2000,Kovai Brothers,Comedy,Sakthi Chidambaram,"Sathyaraj, Sibiraj, Namitha, Uma",2
2000,Oru Kaadhal Seiveer,Romance,Bhargawan,"Santhosh, Archana Galrani, Krishan",2
2000,Sudesi,Action,A. Y. Jeppy,"Vijayakanth, Ashima Bhalla",2
2000,Mercury Pookkal,Romance,S. S. Stanley,"Srikanth, Meera Jasmine",2
2000,Pattiyal,Gangster,Vishnuvardhan,"Arya, Bharath, Pooja, Padmapriya",2
2000,Theenda Theenda,Romance,A. P. Muhan,"Shivhasan, Preethi Varma",2
2000,Azhagai Irukkirai Bayamai Irukkirathu,Romance,Vijay Milton,"Bharath, Mallika Kapoor, Arun Vijay",2
2000,Pachchak Kuthira,Action,Parthiban,"Parthiban, Namitha",2
2000,Thirupathi,Action,Perarasu,"Ajith Kumar, Sadha",2
2000,Thiruttu Payale,Thriller,Susi Ganesan,"Jeevan, Sonia Agarwal, Malavika, Abbas",2
2000,Suyetchai MLA,Comedy,Guru Dhanapal,"Sathyaraj, Goundamani, Mantra, Abitha",2
2000,Kokki,Action,Prabu Solomon,"Karan, Pooja Gandhi",2
2000,Madhu,Romance,K. Thennarasu,"Githan Ramesh, Priyamani",2
2000,Jerry,Romance,S. B. Khanthan,"Githan Ramesh, Shruthi Raj, Mumtaj, Meera Vasudevan",2
2000,Thalai Nagaram,Action,Suraj,"Sundar C., Jyothirmayi, Vadivelu",2
2000,Kalinga,Romance,Ram Prabha,"Bala, Nandhana",2
2000,Pudhupettai,Gangster,Selvaraghavan,"Dhanush, Sneha, Sonia Agarwal",2
2000,Vanjagan,Thriller,A. M. Bhaskar,"Pradap, Chandrahasan, Sujibala, Suman",2
2000,Don Chera,Gangster,K. S. Saravanan,"Ranjith, Sujibala",2
2000,Parijatham,Romance,K. Bhagyaraj,"Prithviraj, Saranya Bhagyaraj",2
2000,Kaivantha Kalai,Romantic Comedy,Pandiarajan,"Prithvi Rajan, Shruthi, Pandiarajan, Malavika",2
2000,Naalai,Action,Uday Mahesh,"Richard Rishi, Natarajan Subramaniam, Madhumitha",2
2000,Aacharya,Action,Ravi,"Vignesh, Divya, Nassar",2
2000,Kusthi,Comedy,Raj Kapoor,"Prabhu, Karthik, Manya, Flora",2
2000,Uyir,Adult,Samy,"Srikanth, Sangeetha, Samvrutha Sunil",2
2000,Thullura Vayasu,Adult,Gopal,"Raghav, Deepika",2
2000,Imsai Arasan 23m Pulikesi,Historical Comedy,Chimbu Deven,"Vadivelu, Monika, Tejashree",2
2000,Thodamale,Romance,V. Rajendra Kumar,"Narain, Uma",2
2000,Thoothukudi,Action,Sanjay Ram,"Harikumar, Karthika",2
2000,Yuga,Horror,Yaar' Kannan,"Richard Rishi, Swarnamalya, Manikandan, Santhoshi",2
2000,Sasanam,Drama,J. Mahendran,"Arvind Swamy, Gauthami, Ranjitha",2
2000,Unakkum Enakkum,Romance,Mohan Raja,"Jayam Ravi, Trisha, Prabhu, Richa Pallod",2
2000,Aran,Action,Major Ravi,"Mohanlal, Jiiva, Gopika, Lakshmi Gopalaswamy",2
2000,Kadhale En Kadhale,Romance,P. C. Sekar,"Naveen, Roma Asrani, Shrutha",2
2000,Thimiru,Action,Tarun Gopi,"Vishal, Reemma Sen, Sriya Reddy",2
2000,Kurukshetram,Drama,Jayabharathi,"Sathyaraj, Roja",2
2000,Nee Venunda Chellam,Romance,L. Venkatesan,"Githan Ramesh, Gajala, Namitha",2
2000,Vettaiyaadu Vilaiyaadu,Crime Thriller,Gautham Menon,"Kamal Haasan, Jyothika, Kamalinee Mukherjee, Prakash Raj",2
2000,16 Naatkal,Drama,Ravi Srinivas,"R. S. K. G, Ananthy, Ganaa Ulakanathan",2
2000,Em Magan,Drama,Thirumurugan,"Bharath, Gopika, Nassar, Saranya Ponvannan, Vadivelu",2
2000,Jambhavan,Action,Nandhakumar,"Prashanth, Nila, Meghna Naidu",2
2000,Sillunu Oru Kaadhal,Romance,N. Krishna,"Suriya, Jyothika, Bhumika Chawla",2
2000,Perarasu,Action,Udhayan,"Vijayakanth, Debina Bonnerjee",2
2000,Manathodu Mazhaikalam,Romance,Arputhan,"Shaam, Samiksha, Nithya Das, Jayasurya",2
2000,Kedi,Romance,Jyothi Krishna,"Ravi Krishna, Ileana D'Cruz, Tamannaah",2
2000,Ilavattam,Romance,A. R. Raviraja,"Navdeep, Sheela",2
2000,Maranthen Meimaranthen,Romance,Sivaram,"Yoha, Poornitha",2
2000,Dharmapuri,Action,Perarasu,"Vijayakanth, Lakshmi Rai",2
2000,E,Thriller,S. P. Jananathan,"Jiiva, Nayantara, Pasupathy",2
2000,Varalaru,Action Thriller,K. S. Ravikumar,"Ajith Kumar, Asin, Kanika",2
2000,Thalaimagan,Action,Sarath Kumar,"Sarath Kumar, Nayantara",2
2000,Vallavan,Romance,Silambarasan,"Silambarasan, Nayantara, Reema Sen, Sandhya",2
2000,Vattaram,Gangster,Saran,"Arya, Kirat Bhattal, Napoleon, Vasundhara",2
2000,Kizhakku Kadalkarai Salai,Romance,S. S. Stanley,"Srikanth, Bhavana",2
