#Year,Title,Genre,Director,Cast,Level
2015,Celebrity,Drama,KVM Krishna,"Ammu Prasad, Viswadha, Bindu, Deepesh Reddy, Sai Kanth",0
2014,Kshatriya,Action,K. Uday Chandu,"Srikanth, Kumkum, Kota Srinivasa Rao, Rao Ramesh",0
2014,1: Nenokkadine,Psychological action thriller,Sukumar,"Mahesh Babu, Kriti Sanon",2
2014,Yevadu,Action/Romance,Vamsi Paidipally,"Ram Charan Teja, Shruti Hasan, Allu Arjun, Sai Kumar, Amy Jackson",2
2014,Love You Bangaram,Comedy/Romance,Govi,"Rahul, Shravya, Bhargavi",1
2014,Manasunu Maaya Cheyake,Romance,Suresh P Kumar,"Prince, Sethu, Richa Panai, Disha Pandey, Manobala",0
2014,Heart Attack,Action/Romance,Puri Jagannadh,"Nithiin, Adah Sharma",1
2014,Pandavulu Pandavulu Tummeda,Action/Romance,Sriwass,"Mohan Babu, Manchu Vishnu,Manchu Manoj, Raveena Tandon,Hansika Motwani, Pranitha Subhash",1
2014,Medaram Jathara,Drama,Sheshidhar,Suman,1
2014,Paisa,Romance / Comedy,Krishna Vamsi,"Nani, Catherine Tresa, Siddhika Sharma, Charanraj, Bharath Reddy, Tabar",2
2014,Malligadu Marriage Bureau,Comedy,Uday Raj,"Srikanth, Brahmanandam,Manochitra",1
2014,Dil Deewana,Romance,Thumma Kiran,"Raj Arun Reddy, Rohit Reddy, Abha Singhal, Neha Deshpande",1
2014,Hum Tum,Romance,Ram Bimana,"Manish, Simran, Nikhil Chakravathi, Aishwariya, M. S. Narayana,Dharmavarapu Subramanyam",1
2014,Love Dot Com,Romance,Raja Vannem Reddy,"Arya Sandeep, Neethi Taylor,Dharmavarapu Subramanyam",0
2014,Aaha Kalyanam,Romantic Comedy,Gokul,"Nani, Vaani Kapoor",1
2014,Naa Rakumarudu,Romance,T. Satya,"Naveen Chandra, Ritu Varma",1
2014,Alibaba Okkade Donga,Comedy,Phani Prakash,"Ali, Suja Varunee, Allari Naresh(Voice-over)",0
2014,Bhimavaram Bullodu,Romantic comedy,K. R. Udhayashankar,"Sunil, Esther Nooronha",1
2014,Bangaru Kodipetta,Romantic drama,Raj Pippalla,"Navdeep, Swati Reddy, Santhosh, Ram",1
2014,Nuvve Naa Bangaram,Romance,Ram Venky,"Sai Krishna, Sheena Shahabadi,Nisha Kothari, Suman",1
2014,To Let 4 Bachelors Only,Adult comedy,Ramana Geddam,"Kiran, Kalyan, Bharadwaj, Madhu, Sirisha, Latha, Narasing",0
2014,Yuddham,Action – Romance,Bharathi Ganesh,"Tarun Kumar, Yami Gautam, Srihari",1
2014,Kamalatho Na Prayanam,Romantic drama,Narasimha Nandi,"Sivaji, Archana, Pavala Shyamala",0
2014,Hrudayam Ekkadunnadi,,V. I.,,1
2014,Veta,Action,Ashok Alle,"Tarun Kumar, Srikanth, Jasmin Bhasin, Madhurima",1
2014,Savior,Spiritual / Drama / Comedy,Irene Thalluri,"Noel Sanjith, Siyona Sneha, Johnny Lever, Surya, Rama Prabha, Goutham Raj, Melkote",0
2014,Eduruleni Alexander,Action – Romance,Raja Reddy,"Taraka Ratna, Komal Jha, Kumkum",0
